企業名,順位,カテゴリー,年収,設立,従業員数,資本金
イオンネクストデリバリー株式会社,15,販売・サービス,300～400万円,2022年2月1日,情報なし,1億円
株式会社全日警 東京中央支社,16,販売・サービス,300～500万円,1966年(昭和41年)10月8日,"4,868名","4億9,428万円"
テイケイ株式会社,17,販売・サービス,250～500万円,昭和53年7月,"9,350名","5,000万円"
サミット株式会社,18,販売・サービス,350～900万円,1963年7月29日,3305名（2024年3月末現在）※正社員のみ,39億2000万円
株式会社流通サービス　ロジスティクス部,19,販売・サービス,350～400万円,1974年10月21日,"4,972名（定時社員・アルバイト含む）","2億4,000万円"
第工株式会社,20,販売・サービス,300～600万円,1986年10月30日,223名※2023年12月31日現在,2億円※グループ全体：4億7100万円
ＧＭＯコネクト株式会社【東証プライム上場 GMOインターネットグループ】,1,事務,250～750万円,2013年7月1日,70名（2023年11月時点）,5530万円
株式会社Euphonauts,2,事務,250～1400万円,2023年3月,61名（グループ全体）,"20,000,000円"
株式会社SPIN TECHNOLOGY,3,事務,300～700万円,2021年9月1日,230名（正社員）,"40,000,000円"
株式会社トライ,4,事務,300～1100万円,1998年10月,60名（グループ全体）,"22,000,000円"
株式会社リクルートR&Dスタッフィング【リクルートグループ】,5,事務,300～600万円,2006年2月1日,"1,884名（令和3年3月末現在）",2億2500万円(株式会社リクルートHDのグループ企業)
H.R.I 株式会社,6,事務,300～350万円,2016年12月,405名（2024年4月時点）,"2,000万円"
株式会社free mova,7,事務,300～500万円,2019年8月,750名 ※2024年12月時点,1250万円
サイボウズ株式会社,8,事務,450～850万円,1997年8月8日,"1,115名（2022年12月末 連結）",6億1300万円
株式会社クロノプラン,9,事務,350～600万円,情報なし,情報なし,300万円
株式会社ワールドコーポレーション　採用推進部【上場グループ】,10,事務,300～600万円,2008年（平成20年）11月11日,"3,000名（2024年4月時点）",1000万円
アトム法律情報株式会社／アトム法律事務所弁護士法人【合同募集】,11,事務,300～350万円,【アトム法律事務所弁護士法人】2008年／【アトム法律情報株式会社】2016年,アトム法律事務所弁護士法人：弁護士19名・事務員38名／アトム法律情報：65名（2024年3月時点）,9999万円
株式会社ＡＴＪＣ【上場グループ】,12,事務,250～800万円,2007年12月,250名（グループ全体2200名）,4800万円
株式会社スタッフサービス エンジニアリング事業本部,13,事務,300～850万円,2001年12月,"約18,000名（2024年4月時点、エンジニア数）",5億円
モノックス株式会社,14,事務,250～450万円,2019年(令和元年) 6月27日,18名,"1,000万円"
株式会社エスアイイー　【東京プロマーケット上場】,15,事務,300～500万円,2004年6月,"1,173名（2024年11月現在）",3000万円
インパクトフィールド株式会社,16,事務,350～450万円,2004年2月,640人（うち正社員71人）,"2,526百万円"
株式会社アクセル　東京支社,17,事務,300～400万円,2007年（平成19年） 6月1日,600名,"5,800万円"
株式会社アクセル　東京支社,18,事務,300～400万円,2007年（平成19年） 6月1日,600名,"5,800万円"
鈴与株式会社【ポジションマッチ登録】,19,事務,500～850万円,創業1801年 ／ 創立1936年,"1,138人（2023年8月31日現在）",10億円
株式会社bサーチ,20,事務,300～1500万円,2013年2月,情報なし,"10,000,000円"
